,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,Error
0,SUPV,Yahoo Finance,1.22,30.33,15.06,101.37,
1,BBAR,Yahoo Finance,1.67,23.65,20.4,15.93,
2,BCBA: PAMP,,,,,,No se encontró información en ninguna fuente
3,YPF,Yahoo Finance,2.57,46.99,32.7,43.7,
4,TGSU2.BA,Yahoo Finance,0.93,7990,6460,23.68,
5,GGAL,Yahoo Finance,3.25,72.22,58.81,22.8,
6,LOMA,Yahoo Finance,2.75,21.4,11.51,85.89,
7,BMA,Yahoo Finance,7.66,115.85,88.07,31.54,
8,EDN,Yahoo Finance,1.71,62.55,32.17,94.44,
9,MIRG.BA,Yahoo Finance,15.87,27600,25400,8.66,
10,AMX,Yahoo Finance,9.05,21.71,17.06,27.23,
11,VIST,Yahoo Finance,1.9,59.5,47.27,25.87,
12,TV,Yahoo Finance,1.6,36.17,1.81,1898.5,
13,ABEV,Yahoo Finance,1.53,5.83,2.53,130.39,
14,EC,Yahoo Finance,2.59,26.31,8.16,222.44,
15,BOGOTA,,,,,,No se encontró información en ninguna fuente
16,BIMBOA,,,,,,No se encontró información en ninguna fuente
17,FALABELLA,,,,,,No se encontró información en ninguna fuente
18,CEMEXCPO.MX,Yahoo Finance,2.84,18.63,12.45,49.66,
19,BVMF: EMBR3,,,,,,No se encontró información en ninguna fuente
20,STIL.ST,Yahoo Finance,5.86,271,203,33.5,
21,ETTE.HE,Yahoo Finance,1.17,17.89,11.1,61.15,
22,SAP,Yahoo Finance,32.39,302.63,293.97,2.95,
23,MC.PA,Yahoo Finance,55.64,858.37,495.75,73.15,
24,BMW.DE,Yahoo Finance,14.96,108.06,79.68,35.62,
25,BA.L,Yahoo Finance,246.7,1779,1688,5.39,
26,NOVO-B.CO,Yahoo Finance,24.6,1007.21,444.3,126.7,
27,ASML,Yahoo Finance,16.97,1091.5,706.21,54.56,
28,AZN,Yahoo Finance,11.54,86.39,67.57,27.85,
29,DGE.L,Yahoo Finance,996.03,4100.5,2179,88.18,
30,LX,Yahoo Finance,0.92,16.44,7.79,111.1,
31,KC,Yahoo Finance,1.9,72.06,13.64,428.3,
32,HSAI,Yahoo Finance,3.55,24.08,16.36,47.19,
33,VNET,Yahoo Finance,1.42,42.6,5.96,614.77,
34,GDS,Yahoo Finance,5.06,115.71,25.45,354.66,
35,BGM,Yahoo Finance,1.91,58.32,11.03,428.76,
36,XPEV,Yahoo Finance,6.41,72.17,19.63,267.65,
37,BABA,Yahoo Finance,55.42,306.28,125.33,144.38,
38,TCEHY,Yahoo Finance,2.9,91.96,63.28,45.31,
39,BYDDF,Yahoo Finance,1.43,54.35,49.75,9.25,
40,F,Yahoo Finance,3.16,19.98,10.43,91.56,
41,GM,Yahoo Finance,14.13,63.92,47.5,34.57,
42,APA,Yahoo Finance,3.58,101.6,16.72,507.68,
43,DVN,Yahoo Finance,4.05,68.41,32.53,110.3,
44,SYF,Yahoo Finance,11.18,69.98,55.63,25.8,
45,PHM,Yahoo Finance,3.04,148.44,102.47,44.87,
46,DAL,Yahoo Finance,5.78,68.89,48.34,42.52,
47,LEN,Yahoo Finance,11.35,184.25,108.64,69.59,
48,HPE,Yahoo Finance,5.42,24.22,16.89,43.42,
49,CMCSA,Yahoo Finance,5.51,55.51,34.25,62.07,
