,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto,Semáforo Riesgo
118,LEJUY,Yahoo Finance,0.02,179.64,0.03,598689.94,China,,,-0.35294116,-2.15904,-0.23068,,,0.71,,1.947,"Leju Holdings Limited, through its subsidiaries, provides online to offline (O2O) real estate services in the People's Republic of China. The company offers real estate e-commerce and online advertising services through its online platform, various mobile applications, and Weixin mini programs. Its O2O services for new residential properties include selling discount coupons; facilitating online property viewing, physical property visits, marketing events, and pre-sale customer support; and issuing commission coupons, as well as provides information platform to individual brokers. The company also provides advertisement placement services to advertisers, primarily property developers through online cross-media and cross-platform product portfolio; and brand promotion services to advertisers, including real estate developers and home furnishing suppliers. In addition, it offers Leju Finance, an online platform that provides information and news on the real estate industry, market, and developers featuring their financial performances. The company was incorporated in 2013 and is headquartered in Beijing, the People's Republic of China. Leju Holdings Limited operates as a subsidiary of E-House (China) Enterprise Holdings Limited.",ROJO
107,NIO,Yahoo Finance,1.32,62.84,4.12,1425.24,China,,,1.4528567,-1.03946,-0.12153,,250.422,-1.048,,1.733,"NIO Inc. designs, develops, manufactures, and sells smart electric vehicles in China, Europe, and internationally. It offers five and six-seater electric SUVs, as well as smart electric sedans. The company also offers power solutions, including Power Home, a home charging solution; Power Swap, a battery-swapping service; Power Charger and Destination Charger; Power Mobile, a mobile charging service through charging vans; Power Map, an application that provides access to a network of public chargers and their real-time information; and One Click for power valet service. In addition, it provides repair, maintenance, and bodywork services through its service centers and authorized third-party service centers; statutory and third-party liability insurance, and vehicle damage insurance through third-party insurers; repair and maintenance; courtesy vehicle; data packages; and auto financing and financial leasing services. Further, the company is involved in the provision of energy and service packages to its users; design and technology development activities; manufacture of electric powertrains, battery packs, and components; and sales and after-sales management activities. The company was formerly known as NextEV Inc. and changed its name to NIO Inc. in July 2017. NIO Inc. was incorporated in 2014 and is based in Shanghai, China.",ROJO
56,CGEN,Yahoo Finance,0.53,19.45,1.35,1340.74,Israel,,,2.1941273,-0.23625,-0.07876,,5.303,-1.798,,2.622,"Compugen Ltd., a clinical-stage therapeutic discovery and development company, engages in the research, development, and commercialization of therapeutics and product candidates in Israel, the United States, and Europe. The company's pipeline consists of COM701, an immuno-oncology pipeline program with an anti-PVRIG antibody; COM902, a therapeutic anti-TIGIT antibody, are in Phase 1 clinical trials and have been evaluated for the treatment of solid tumors as a monotherapy and in combination of PVRIG/PD-1 and PVRIG/TIGIT, as well as PVRIG/PD-1/TIGIT blockade; Bapotulimab, a therapeutic antibody targeting ILDR2 that is evaluated in Phase I clinical trials in patients with naïve head and neck squamous cell carcinoma; and Rilvegostomig, a novel anti-TIGIT/PD-1 bispecific antibody, which is in Phase III clinical study in patients with advanced or metastatic non-small cell lung cancer. Its preclinical therapeutic pipeline also includes early-stage immuno-oncology programs focused to address various mechanisms of immune resistance; and COM503, high affinity antibody, which blocks the interaction between IL-18 binding protein and IL-18. The company has collaboration agreement with Bristol-Myers Squibb to evaluate the safety and tolerability of COM701 in combination with Bristol-Myers Squibb's PD-1 immune checkpoint inhibitor Opdivo in patients with advanced solid tumors. It has license agreement with AstraZeneca for the development of bi-specific and multi-specific immuno-oncology antibody products; and Gilead Sciences, Inc. for the research, development, manufacturing, and commercialization of COM503 and other products. Compugen Ltd. was incorporated in 1993 and is headquartered in Holon, Israel.",ROJO
106,XPEV,Yahoo Finance,6.41,72.17,20.77,247.47,China,,,0.6323967,-0.1713,-0.0506,,50.963,-4.916,,2.629,"XPeng Inc. designs, develops, manufactures, and markets smart electric vehicles (EVs) in the People's Republic of China. The company offers P7 and P7i, a four-door sports sedan; G9, a smart EV and a mid- to large-sized sport utility vehicle (SUV); G6, a smart EV and a coupe SUV; X9, Smart EV and a large seven-seater multi-purpose vehicle (MPV); MONA M03, an all-electric hatchback coupe; and P7+, smart EV of XPeng series. It also provides XOS Tianji, smart in-car operating system; Powertrain; and SEPA 2.0, a smart electric platform architecture. In addition, the company offers various services, including services embedded in a sales contract, supercharging, maintenance, technical support, technical research and development, and second-hand vehicle sales services; and insurance technology support, and automotive loan referral and auto financing services. XPeng Inc. was founded in 2015 and is headquartered in Guangzhou, the People's Republic of China.",ROJO
114,KC,Yahoo Finance,1.9,72.06,13.95,416.56,China,,,0.64816135,-0.31041,-0.03135,,121.788,125.61,,2.24,"Kingsoft Cloud Holdings Limited provides cloud services to businesses and organizations primarily in China. The company's product portfolio includes cloud products, such as infrastructure as a service (IaaS) infrastructure, platform as a service (PaaS) middleware, and software as a service (SaaS) applications that primarily consist of cloud computing, network, containers, database, big data, security, storage, and delivery solutions. It offers research and development services, as well as enterprise digital solutions and related services. The company also provides public cloud services to customers in various verticals, including video, e-commerce, intelligent mobility, artificial intelligence, and mobile internet; and enterprise cloud services to customers in financial services, public service, and healthcare businesses. Kingsoft Cloud Holdings Limited was incorporated in 2012 and is headquartered in Beijing, China.",ROJO
117,HCM,Yahoo Finance,7.65,42.94,13.14,226.79,Hong Kong,,66.725,15.011249,0.050380003,-0.021389998,,11.637,-334.656,,0.684,"HUTCHMED (China) Limited, together with its subsidiaries, discovers, develops, and commercializes targeted therapeutics and immunotherapies to treat cancer and immunological diseases in Hong Kong, the United States, and internationally. The company offers Fruquintinib, a selective and potent oral inhibitor of vascular endothelial growth factor receptors for treatment of colorectal cancer (CRC), breast cancer, gastric cancer (GC), microsatellite stable-CRC endometrial cancer (EMC), non-small cell lung cancer (NSCLC), renal cell carcinoma (RCC), endometrial cancer (EMC); and Savolitinib, a potent and selective inhibitor of mesenchymal-epithelial transition receptor to treat NSCLC, papillary RCC, and GC. It also develops Surufatinib to trea pancreatic neuroendocrine tumor (NET), non pancreatic NET, and pancreatic ductal adenocarcinoma; Sovleplenib, to treat immune thrombocytopenic purpura and warm autoimmune hemolytic anemia; and Tazemetostat, a treatment for epithelioid sarcoma and follicular lymphoma; Fanregratinib that treats intrahepatic cholangiocarcinoma; and Ranosidenib, a novel dual-inhibitor of dehydrogenase-1 and isocitrate dehydrogenase-2 enzymes to treat acute myeloid leukemia (AML). In addition, the company is developing HMPL-760, which is in phase I and II clinical trial to treat relapsed and/or refractory diffuse large B cell lymphoma, chronic lymphocytic leukemia, small lymphocytic lymphoma, and other B-NHL; HMPL-506 to treat Mixed-lineage leukemia-rearrange/rearrangement and nucleophosmin 1-mutantAML. It has collaboration agreements with AstraZeneca AB (publ), Lilly (Shanghai) Management Company Limited, Takeda, BeiGene Ltd., Inmagene Biopharmaceuticals Co. Ltd., Innovent Biologics Co., Inc., and Epizyme, Inc., and Epizyme, Inc. The company was formerly known as Hutchison China MediTech Limited and changed its name to HUTCHMED (China) Limited in May 2021. HUTCHMED (China) Limited was incorporated in 2000 and is headquartered in Hong Kong, Hong Kong.",VERDE
15,COME.BA,Yahoo Finance,0.1,290.98,159.5,82.43,Argentina,,7.984969,1.1716138,0.14758,-0.00784,,4.993,27.736,0.44,0.583,"Sociedad Comercial del Plata S.A. operates in construction, energy, agribusiness, transport and infrastructure, and real estate sectors in Argentina and internationally. It operates through Construction; Oil; and Agribusiness segments. The company provides construction materials, such as hollow ceramic bricks, floor and wall coverings, ceramics, porcelain tiles, and processed glasses under the CERRO NEGRO, LOSA, CORMELA, and SUPERGLASS brand names. It also explores, exploits, refines, markets, distributes, and stores hydrocarbons and its derivatives; produces, markets, distributes, and stores fuel, lubricants, and other petroleum derivatives; provides downstream services; and develops, explores, and produces liquified petroleum gas and oil. In addition, the company offers rail freight services for transporting grains and its by-products from the humid pampas to the port; invests in own securities; and is involved in forestry activities. Further, it develops and operates real estate; and produces wheat flour, breadcrumbs and batters, premixes for sponge cakes, mashed potatoes, polenta, olive oil, sunflower oil, balsamic vinegar, canned olives, precooked white corn flour, oats, dried pasta, biscuits, and legumes under the Morixe brand name, as well as frozen pre-fried potatoes under the Rapipap brand name. Sociedad Comercial del Plata S.A. was incorporated in 1927 and is headquartered in Buenos Aires, Argentina.",VERDE
112,TAL,Yahoo Finance,1.14,90.15,10.01,800.6,China,,71.89285,1.6244351,0.02276,-0.00037999998,,8.851,-47.12,,0.07,"TAL Education Group provides K-12 after-school tutoring services in the People's Republic of China. It provides learning services primarily through small-classes services; personalized premium services; and learning content solutions, such as print books, smart books, mobile apps, and AI-driven learning devices. The company also operates www.xueersi.com, an online education platform; provides investment management and consulting services; develops and sells software and networks, as well as related consulting services; and sells educational materials and products. It offers its services under the Haoweilai and Think Academy brands. TAL Education Group was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",VERDE
95,PHIA.AS,Yahoo Finance,7.41,40.77,21.65,88.33,Netherlands,,83,1.7067384,0.01993,,,64.538,10.354,3.93,0.856,"Koninklijke Philips N.V. operates as a health technology company in North America, the Greater China, and internationally. The company operates through Diagnosis & Treatment, Connected Care, and Personal Health segments. It provides diagnostic imaging solutions, includes magnetic resonance imaging; X-ray systems; and computed tomography (CT) systems and software comprising detector-based spectral CT solutions; ultrasound imaging solutions focused on diagnosis, treatment planning and guidance for cardiac, general imaging, obstetrics/gynecology, and point-of-care applications; integrated interventional X-ray systems and software solutions; and interventional image devices and software to aid in the diagnosis, navigation, treatment, and confirmation in minimally invasive interventional coronary, peripheral vascular, and hearth rhythm management procedures. The company also offers acute patient management solutions; emergency care solutions; patient care management in ambulatory and home care; sleep and respiratory care solutions; and vendor-agnostic software solutions. In addition, it provides power toothbrushes, brush heads, and interdental cleaning and teeth whitening products; infant feeding, baby monitors, and digital parental and women's health solutions; and grooming and beauty products and solutions. The company was formerly known as Koninklijke Philips Electronics N.V. and changed its name to Koninklijke Philips N.V. in May 2013. Koninklijke Philips N.V. was founded in 1891 and is headquartered in Amsterdam, the Netherlands.",VERDE
96,SAN.PA,Yahoo Finance,24.69,105,89.71,17.04,France,,17.8497,1.4406095,,,,23.008,10.139,4.37,0.426,"Sanofi, a healthcare company, engages in the research, development, manufacture, and marketing of therapeutic solutions in the United States, Europe, and internationally. The company provides immunology and inflammation, rare diseases, neurology, oncology, and other medicines and vaccines. It also offers poliomyelitis, pertussis, and haemophilus influenzae type b (Hib) pediatric vaccines; respiratory syncytial virus protection and hexavalent combination vaccines protecting against diphtheria, tetanus, pertussis, polio, Hib, and hepatitis B; influenza, booster, meningitis, and travel and endemic vaccines, which includes hepatitis A, typhoid, yellow fever, and rabies vaccines. In addition, the company has a collaboration and license agreement with Exscientia to develop up to 15 novel small-molecule for oncology and immunology; ABL Bio, Inc. to develop ABL301, a treatment for alpha-synucleinopathies; Innate Pharma SA for a natural killer cell engager program targeting B7-H3; and Blackstone Life Sciences to develop pivotal studies and clinical development program. Further, it has a collaboration agreement with IGM Biosciences, Inc. to develop, manufacture, and commercialize IgM antibody; Kymera Therapeutics, Inc. to develop and commercialize protein degrader therapies targeting IRAK4 in patients with immune-inflammatory diseases; Nurix Therapeutics, Inc. to develop novel targeted protein degradation therapies; Denali Therapeutics Inc. to treat a range of systemic inflammatory diseases, such as ulcerative colitis; and Adagene Inc. for the discovery and development of antibody-based therapies. Additionally, it has a collaboration with Scribe Therapeutics Inc. to develop genome editing technologies; and co-promotion service agreement with Provention Bio, Inc. for the commercialization of teplizumab. The company was formerly known as Sanofi-Aventis and changed its name to Sanofi in May 2011. Sanofi was incorporated in 1994 and is headquartered in Paris, France.",VERDE
