,Semáforo Riesgo,Ticker,Fuente,Mínimo,Máximo,Actual,% Subida a Máx,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto
111,VERDE,BEKE,Yahoo Finance,8.69,74.01,20,270.07,China,-2.83,42.197914,0.3411713,0.05678,0.01931,25.09,31.708,8.541,1.8,-0.725,"Ke Holdings Inc., a través de sus subsidiarias, se dedica a operar una plataforma integrada en línea y fuera de línea para transacciones y servicios de vivienda en la República Popular de China. Opera a través de cinco segmentos: servicios de transacción domésticos existentes, nuevos servicios de transacciones en el hogar, renovación y muebles para el hogar, servicios de alquiler de viviendas y servicios emergentes y otros servicios. La compañía opera Beike, una plataforma integrada en línea y fuera de línea para transacciones y servicios de vivienda; Lianjia, una tienda de marca de corretaje inmobiliario; Red de cooperación de agentes, un sistema operativo que fomenta la reciprocidad y la vinculación entre varios proveedores de servicios. También posee la marca Deyou para tiendas de corretaje conectadas; y otras marcas. Además, la compañía ofrece servicios de administración y operación de propiedades de alquiler; y contrato, pago seguro, depósito en garantía y otros servicios. Ke Holdings Inc. fue fundada en 2001 y tiene su sede en Beijing, la República Popular de China."
14,VERDE,MOLA.BA,Yahoo Finance,85.97,34255.37,22400,52.93,Argentina,-0.25,23.350067,6.3669667,0.33699,0.0027200002,-2.01,153.99,133.985,8.66,-0.532,"Molinos Agro S.A. produce y vende productos de granos, soja y cereales. La compañía también ofrece alimentos para animales, incluidos productos para mascotas, aves de corral, carne de cerdo y productos lácteos; y construye y opera una planta de biodiesel. Además, exporta la comida de soja, los gránulos de cáscara de soja, el aceite de soja crudo, la lecitina de soja, el biodiesel, la glicerina refinada, el maíz, el aceite de girasol crudo y el trigo. La compañía se incorporó en 2016 y tiene su sede en Victoria, Argentina."
10,VERDE,TXAR.BA,Yahoo Finance,0.11,1144.5,615,86.1,Argentina,,,0.51777804,-0.01548,0.00185,-22.34,5.028,17.414,,-0.246,"Ternium Argentina S.A. fabrica, produce y procesa varios productos de acero en Argentina. La compañía ofrece bobinas, correas y sábanas calientes y enrolladas; acero galvanizado, prepintado y recubierto de Cincalum; acero chapado electrogalvanizado; uso mecánico y estructural, y tubos de uso general; Perfil de acero U y C; productos de estaño; y agregado de acero, escoria de alto horno y óxido férrico. Sirve la construcción, automotriz, línea blanca, industria de la agroindustria, empaque, transporte y industrias energéticas. La compañía fue conocida anteriormente como Siderar S.A.I.C. La compañía fue incorporada en 1962 y tiene su sede en Buenos Aires, Argentina. Ternium Argentina S.A. opera como una subsidiaria de Ternium Internacional España S.L.U."
6,VERDE,TGSU2.BA,Yahoo Finance,0.93,7990,6880,16.13,Argentina,,13.986013,2.3187695,0.18070999,0.09702,5.6,25.973,7.713,,-0.162,"Transportadora de Gas del Sur S.A. se involucra en el transporte de gas natural, y la producción y comercialización de líquidos de gas natural en Argentina e internacionalmente. La compañía opera a través de cuatro segmentos: servicios de transporte de gas natural; Producción y comercialización de líquidos; Centro de la corriente; y telecomunicaciones. El segmento de transporte de gas natural transporta gas natural a través del sistema de tuberías a empresas de distribución, plantas de energía y clientes industriales. Proporciona servicios de operación y mantenimiento para las instalaciones de transporte de gas natural. El segmento de producción y comercialización de líquidos produce y comercializa líquidos de gas natural, como etano, gas de petróleo líquido, gasolina natural, propano y butano. Este segmento ofrece ciertos servicios relacionados que comprenden recepción, almacenamiento y envío de líquidos. El segmento Midstream proporciona servicios de acondicionamiento de gas natural; tratamiento, eliminación de impurezas y compresión de gas natural, incluida la recolección y el transporte de gas natural; e inspección y mantenimiento de tuberías y servicios de plantas de compresores. Además, este segmento ofrece generación de vapor para la producción de electricidad y los servicios de gestión para trabajos de expansión y generación de vapor para la producción de electricidad. El segmento de telecomunicaciones ofrece servicios de transmisión de datos a través de una red de relé de radio terrestre digital. Sirve a usuarios finales de generación de energía residencial, comercial, industrial y eléctrica. La compañía se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina. Transportadora de Gas del Sur S.A. es una subsidiaria de Compañía de Inversiones de Energía S.A."
109,VERDE,ZTO,Yahoo Finance,10.01,35.75,18.47,93.54,China,1.45,12.64527,0.2408251,0.14457,0.08158,20.25,27.675,0.689,3.79,-0.126,"ZTO Express (Cayman) Inc. proporciona una entrega Express y otros servicios de logística de valor agregado en la República Popular de China. Ofrece servicios de reenvío de carga; y servicios de entrega para comerciantes de comercio electrónico y comerciantes tradicionales, y otros usuarios de servicios expresos. La compañía fue fundada en 2002 y tiene su sede en Shanghai, la República Popular de China."
16,VERDE,GARO.BA,Yahoo Finance,0.54,351.5,274.5,28.05,Argentina,,3.9901612,1.3951999,-1.0694001,0.21392,-23.15,96.264,3.15,,-0.082,"Garovaglio y Zorraquín S.A., a través de sus subsidiarias, se involucra en bienes raíces y en la construcción y participación financiera, agrícola y petroquímica, de construcción y participación en otras granjas agrícolas y petroquímicas, y la construcción de la construcción en Argentina. Fabrica y comercializa calentadores de agua, calentadores, tanques de agua caliente y convectores; y fabrica y vende electrodomésticos. Garovaglio y Zorraquín S.A. se fundó en 1924 y tiene su sede en Buenos Aires, Argentina."
58,VERDE,COLBUN.SN,Yahoo Finance,49.78,181.6,153.77,18.1,Chile,0.3,10.237218,794.60315,0.08686,0.034590002,0,68.99,4523.818,4.55,-0.082,"Colbún S.A., junto con sus subsidiarias, opera como una empresa generadora de energía eléctrica. La compañía se involucra en la producción, transporte, transformación, distribución y suministro de energía, electricidad y gas natural. Ofrece plantas de energía renovable, fotovoltaicos, embalses y plantas de energía hidroeléctrica de río desde el río; proyectos solares fotovoltaicos; y centrales térmicas, así como el sistema de gestión de energía, y el contrato de suministro de electricidad. La compañía también proporciona certificación renovable, contrato de suministro de energía, sistema de gestión de energía, actualizaciones de energía eléctrica, autoconsumo fotovoltaico, gestión de facturación de energía, certificaciones de construcción sostenibles, electro-cargador, monitoreo en línea y control del consumo de energía, auditorías energéticas, almacenamiento de energía, bombas de calor y sistema de aire acondicionado y soluciones de facturación de automóviles. Sirve varios sectores, que incluyen minería; pulpa, papel, madera y cemento; industria y fabricación; Industria de la Agroindustria y Alimentos; pesquería y acuicultura; sanitario; puertos y puertos; comercio y venta minorista; telecomunicaciones; educación; salud; hospitalidad; almacenamiento y oficinas; y bienes raíces y edificios comerciales. La compañía fue incorporada en 1986 y tiene su sede en Santiago, Chile."
5,VERDE,CEPU,Yahoo Finance,1.66,15.9,12.83,23.93,Argentina,,45.46552,0.011006367,0.03286,0.041550003,8352.47,20.438,0.721,5.99,-0.033,"Central Puerto S.A. se involucra en las actividades de generación de energía eléctrica en Argentina. Funciona en cuatro segmentos: generación de energía eléctrica de fuentes convencionales; Generación de energía eléctrica de fuentes renovables; Transporte y distribución de gas natural; y actividad forestal. Los activos de generación de energía de la compañía incluyen ciclo combinado, turbina de gas y vapor, cogeneración, hidroeléctrica, turbina eólica y plantas de energía solar. También se involucra en el transporte y distribución de gas natural; silvicultura; y negocios mineros. La compañía se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina."
4,VERDE,PAM,Yahoo Finance,2.85,94.88,83.73,13.32,Argentina,-0.28,7.331304,37.157337,0.17531,0.030269999,3.25,48.564,211.014,,,"Pampa Energía S.A. opera como una compañía eléctrica integrada en Argentina. La compañía opera a través de petróleo y gas; Generación; Petroquímicos; y Holding, Transporte y otros segmentos. Genera electricidad a través de plantas térmicas, plantas hidroeléctricas y parques eólicos con una capacidad instalada de 5.472 megavatios (MW). La compañía también explora y produce petróleo y gas en las provincias de Neuquén y Río Negro. Además, produce petroquímicos, como el estireno, el caucho sintético y el poliestireno. Además, la compañía opera y mantiene una red de transmisión de electricidad de alto voltaje de 22,396 km en Argentina. Además, tiene una concesión para el transporte de gas natural con 9,248 km de tuberías de gas en el centro, oeste y al sur de Argentina; y procesa y vende líquidos de gas natural en Bahía Blanca en la provincia de Buenos Aires, así como ofrece servicios de asesoramiento relacionados. La compañía fue conocida anteriormente como Pampa Holding S.A. y cambió su nombre a Pampa Energía S.A. en septiembre de 2008. Pampa Energía S.A. se incorporó en 1945 y tiene su sede en Buenos Aires, Argentina."
12,VERDE,TGNO4.BA,Yahoo Finance,0.29,4006.88,3440.21,16.47,Argentina,,42.003807,1.614693,0.18642999,0.12810999,0.51,6.814,5.719,10.76,,"Transportador de Gas del Norte S.A. se involucra en el transporte de gas natural en las regiones norte y centro de West de Argentina. La compañía opera y mantiene aproximadamente 11,222 km de tuberías de terceros y de terceros. También proporciona operación, mantenimiento, integridad, conexión de tuberías y grifos en caliente, ingeniería, gestión de trabajos de tuberías, consultoría, capacitación, SCADA y comunicaciones, comunicación, prevención de daños y servicios de proyectos especiales a tuberías de terceros en Argentina, Chile, México, Perú y Uruguay. Transportador de Gas del Norte S.A. se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina. La compañía opera como subsidiaria de GasInvest S.A."
