,Semáforo Riesgo,Score Final,Ticker,Error,Fuente,Fuentes Probadas,Advertencia,Tipo,País,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Contexto,Cobertura,Mínimo,Máximo,Actual,% Subida a Máx
4,VERDE,⭐⭐⭐⭐ (4/5 - Muy Bueno),METR.BA,,Yahoo Finance,Yahoo Finance,,,Argentina,-0.13,8.722501,2.0441482,0.28318,0.08944,-2.5,4.365,5.602,,0.695,"Metrogas S.A. se involucra en la distribución del gas natural principalmente en Argentina. La compañía fue conocida anteriormente como distribuidor de Gas Metropolitan SA. Metrogas S.A. se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina. Metrogas S.A. opera como un subsidio de YP Society Anónima.",6/6,0.41,3050,2330,30.9
13,AMARILLO,⭐⭐⭐ (3/5 - Aceptable),GGAL,,Yahoo Finance,Yahoo Finance,,,Argentina,0.03,6.380658,0.01624775,0.31073,0.05933,,,,4.25,1.043,"Grupo Financiero Galicia S.A., una compañía de holding de servicios financieros, ofrece varios productos y servicios financieros a individuos y empresas en Argentina. La compañía opera a través de los segmentos de Bank, Naranja X, Insurance y otros negocios. Ofrece ahorros, verificaciones y depósitos de tiempo; préstamos personales; préstamos expresos e hipotecarios; sobregiros; préstamos de compromiso y tarjetas de crédito; Tarjetas de crédito y débito; y servicios bancarios en línea. Además, la compañía ofrece productos financieros; fondos mutuos; Servicios de gestión de activos; Servicios de finanzas del consumidor y banca digital; cheque electrónico; Servicios de custodia global; Fondos FIMA; servicios de comercio exterior; y el mercado de capitales y los productos de banca de inversión. Además, proporciona robo, accidente personal, automóviles, vida, hogar, vida, pymes integrales, accidentes personales y otros productos de seguros; soluciones de pago; y productos financieros y de corretaje. Además, la compañía ofrece servicios de banca privada a personas de alto patrimonio neto; y opera la plataforma de inversión digital. Grupo Financiero Galicia S.A. se fundó en 1905 y tiene su sede en Buenos Aires, Argentina.",5/6,3.25,72.22,61.79,16.88
19,VERDE,⭐⭐⭐ (3/5 - Aceptable),YPF,,Yahoo Finance,Yahoo Finance,,,Argentina,,8.363637,0.001123743,0.14694999,0.028719999,-11064.82,86.139,2.587,,,"YPF Sociedad Anónima, una compañía energética, se involucra en las actividades de petróleo y gas aguas arriba y aguas abajo en Argentina. Sus operaciones aguas arriba incluyen la exploración, explotación y producción de petróleo crudo y gas natural. Las operaciones posteriores de la compañía incluyen producción petroquímica y refinación de petróleo crudo; transporte y distribución de productos refinados y petroquímicos; Comercialización de petróleo crudo, productos petroquímicos y especialidades. Sus operaciones de gas y energía incluyen transporte, comercialización y distribución de gas natural; Operación comercial y técnica de terminales de regasificación; transporte, acondicionamiento, procesamiento y separación de gas natural; y generación de energía. La compañía tenía intereses en los campos de petróleo y gas. También tenía una red de distribución minorista y estaciones de servicio minorista. Además, la compañía posee y opera refinerías, así como mantiene las instalaciones terminales de los puertos argentinos. Además, participa en plantas de generación de energía; ofrece diesel, fertilizantes, lubricantes, productos fitosanitarios y bolsas de ascendencias; y suministros diesel, gasolina, combustible, carbón, asfaltos, parafina y azufre, CO2, aceite decantado y extracto aromático. La compañía se incorporó en 1977 y tiene su sede en Buenos Aires, Argentina.",4/6,2.57,46.99,35.77,31.36
9,AMARILLO,⭐⭐⭐ (3/5 - Aceptable),GOOGL,,Yahoo Finance,Yahoo Finance,,,United States,0.4,18.568716,5.8507304,0.34789002,0.16896999,3,8.254,14.169,0.51,1.01,"Alphabet Inc. ofrece varios productos y plataformas en los Estados Unidos, Europa, Oriente Medio, África, Asia-Pacífico, Canadá y América Latina. Funciona a través de Google Services, Google Cloud y otros segmentos de apuestas. El segmento de Google Services proporciona productos y servicios, incluidos anuncios, Android, Chrome, dispositivos, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search y YouTube. También participa en la venta de aplicaciones y compras en la aplicación y contenido digital en Google Play y YouTube; y dispositivos, así como en la provisión de servicios de suscripción al consumidor de YouTube. El segmento de Google Cloud ofrece infraestructura de IA, plataforma de IA Vertex, ciberseguridad, datos y análisis, y otros servicios; El espacio de trabajo de Google que incluye herramientas de comunicación y colaboración basadas en la nube para empresas, como calendario, gmail, documentos, impulso y reunión; y otros servicios para clientes empresariales. El segmento de otras apuestas vende servicios de Internet relacionados con la salud. La compañía se incorporó en 1998 y tiene su sede en Mountain View, California.",6/6,10.86,206.14,163.96,25.73
6,AMARILLO,⭐⭐ (2/5 - Riesgoso),META,,Yahoo Finance,Yahoo Finance,,,United States,0.72,25.052427,8.731473,0.39835,0.17879999,2.28,26.763,18.166,0.33,1.237,"Meta Platforms, Inc. se involucra en el desarrollo de productos que permiten a las personas conectarse y compartir con amigos y familiares a través de dispositivos móviles, computadoras personales, realidad virtual y auriculares de realidad mixta, realidad aumentada y wearables en todo el mundo. Funciona a través de dos segmentos, Familia de Aplicaciones (FOA) y Reality Labs (RL). El segmento FOA ofrece Facebook, que permite a las personas construir una comunidad a través de alimentos, carretes, historias, grupos, mercados y otros; Instagram que acerca a las personas a través de la alimentación de Instagram, las historias, los carretes, los vivos y los mensajes; Messenger, una solicitud de mensajería para que las personas se conecten con amigos, familiares, comunidades y negocios en plataformas y dispositivos a través de texto, audio y videollamadas; Threads, una aplicación para actualizaciones basadas en texto y conversaciones públicas; y WhatsApp, una aplicación de mensajería utilizada por personas y empresas para comunicarse y realizar transacciones de manera privada. El segmento RL proporciona productos relacionados con la realidad virtual, aumentada y mixta que comprenden hardware, software y contenido del consumidor que ayudan a las personas a sentirse conectados, en cualquier momento y en cualquier lugar. La compañía fue conocida anteriormente como Facebook, Inc. y cambió su nombre a Meta Platforms, Inc. en octubre de 2021. La compañía se incorporó en 2004 y tiene su sede en Menlo Park, California.",6/6,17.65,736.02,643.88,14.31
8,VERDE,⭐⭐ (2/5 - Riesgoso),MSFT,,Yahoo Finance,Yahoo Finance,,,United States,1.98,35.051697,10.491224,0.3361,0.14581999,1.62,32.626,22.747,0.73,0.985,"Microsoft Corporation desarrolla y admite software, servicios, dispositivos y soluciones en todo el mundo. El segmento de productividad y procesos comerciales ofrece Office, Exchange, SharePoint, Microsoft Teams, Office 365 Seguridad y cumplimiento, Microsoft Viva y Copilot de Microsoft 365; y servicios de consumo de oficina, como suscripciones de consumo de Microsoft 365, en las instalaciones con licencia de oficina y otros servicios de oficina. Este segmento también proporciona LinkedIn; y Dynamics Business Solutions, incluida Dynamics 365, un conjunto de aplicaciones inteligentes basadas en la nube en ERP, CRM, aplicaciones de energía y automatización de potencia; y aplicaciones ERP y CRM locales. El segmento de la nube inteligente ofrece productos de servidor y servicios en la nube, como Azure y otros servicios en la nube; SQL y Windows Server, Visual Studio, System Center y licencias relacionadas de acceso al cliente, así como Nuance y GitHub; y servicios empresariales que incluyen servicios de soporte empresarial, soluciones de la industria y servicios profesionales Nuance. El segmento de computación más personal ofrece Windows, incluidas las licencias OEM de Windows y otras licencias no voluminales del sistema operativo Windows; Comercial de Windows que comprende licencias de volumen del sistema operativo Windows, los servicios en la nube de Windows y otras ofertas comerciales de Windows; licencia de patentes; e Windows Internet de las cosas; y dispositivos, como accesorios de superficie, holojos y PC. Además, este segmento proporciona juegos, que incluye hardware y contenido de Xbox, y contenido de primera y terceros; Pase de juego Xbox y otras suscripciones, juegos en la nube, publicidad, regalías de disco de terceros y otros servicios en la nube; y publicidad de búsqueda y noticias, que incluye Bing, Microsoft News and Edge, y afiliados de terceros. La compañía vende sus productos a través de OEM, distribuidores y revendedores; y directamente a través de mercados digitales, tiendas en línea y minoristas. La compañía fue fundada en 1975 y tiene su sede en Redmond, Washington.",6/6,17.42,464,453.13,2.4
7,AMARILLO,⭐⭐ (2/5 - Riesgoso),AAPL,,Yahoo Finance,Yahoo Finance,,,United States,6.84,32.855366,47.25117,1.38015,0.23809999,3.08,146.994,23.1,0.49,1.275,"Apple Inc. diseña, fabrica y comercializa teléfonos inteligentes, computadoras personales, tabletas, wearables y accesorios en todo el mundo. La compañía ofrece iPhone, una línea de teléfonos inteligentes; Mac, una línea de computadoras personales; iPad, una línea de tabletas multipropósito; y wearables, hogar y accesorios que comprenden AirPods, Apple TV, Apple Watch, Beats Products y HomePod. También proporciona soporte de Applecare y servicios en la nube; y opera varias plataformas, incluida la App Store que permite a los clientes descubrir y descargar aplicaciones y contenido digital, como libros, música, videos, juegos y podcasts, así como los servicios de publicidad incluyen arreglos de licencias de terceros y sus propias plataformas de publicidad. Además, la compañía ofrece varios servicios basados ​​en suscripción, como Apple Arcade, un servicio de suscripción de juegos; Apple Fitness+, un servicio de fitness personalizado; Apple Music, que ofrece a los usuarios una experiencia auditiva curada con estaciones de radio a pedido; Apple News+, un servicio de noticias y revistas de suscripción; Apple TV+, que ofrece contenido original exclusivo; Apple Card, una tarjeta de crédito de marca compartida; y Apple Pay, un servicio de pago sin efectivo, así como con licencia de su propiedad intelectual. La compañía atiende a los consumidores y pequeñas y medianas empresas; y la educación, la empresa y los mercados gubernamentales. Distribuye aplicaciones de terceros para sus productos a través de la App Store. La compañía también vende sus productos a través de sus tiendas minoristas y en línea, y la fuerza de ventas directa; y portadores de redes celulares de terceros, mayoristas, minoristas y revendedores. Apple Inc. fue fundada en 1976 y tiene su sede en Cupertino, California.",6/6,5.77,258.4,211.45,22.2
1,ROJO,⭐ (1/5 - Débil),GD41D,❌ No se encontró información en ninguna fuente,Ninguna,"Yahoo Finance, Alpha Vantage, Investpy (brazil), Rava",⚠️ No se encontró información,Desconocido,,,,,,,,,,,,,0/3,,,,
0,ROJO,⭐ (1/5 - Débil),GD38D,❌ No se encontró información en ninguna fuente,Ninguna,"Yahoo Finance, Alpha Vantage, Investpy (brazil), Rava",⚠️ No se encontró información,Desconocido,,,,,,,,,,,,,0/3,,,,
3,ROJO,⭐ (1/5 - Débil),PAMP,❌ No se encontró información en ninguna fuente,Ninguna,"Yahoo Finance, Alpha Vantage, CoinGecko, Investpy (argentina)",⚠️ No se encontró información,Desconocido,,,,,,,,,,,,,0/6,,,,
